bot,repeat,shard
android-brya-kano-i5-8gb-perf,1,1
android-pixel-fold-perf,1,1
android-pixel-tangor-perf,1,1
android-pixel25-ultra-perf,1,4
android-pixel25-ultra-xl-perf,1,3
android-pixel4-perf,1,1
android-pixel4-perf-pgo,1,1
android-pixel6-perf,1,1
android-pixel6-perf-pgo,1,1
android-pixel6-pro-perf,1,1
android-pixel6-pro-perf-pgo,1,1
android-pixel9-perf,1,4
android-pixel9-pro-perf,1,4
android-pixel9-pro-xl-perf,1,4
linux-falcon-rak-5070-perf,1,1
linux-perf-pgo,1,1
linux-r350-perf,1,1
mac-intel-perf,1,1
mac-m1-pro-perf,1,1
mac-m1_mini_2020-perf,11,1
mac-m1_mini_2020-perf-pgo,11,1
mac-m2-pro-perf,1,1
mac-m4-mini-perf,1,6
win-10-perf,1,1
win-10-perf-pgo,1,1
win-10_amd_laptop-perf,1,1
win-10_amd_laptop-perf-pgo,1,1
win-10_laptop_low_end-perf,1,1
win-10_laptop_low_end-perf-pgo,1,1
win-11-perf,1,1
win-11-perf-pgo,1,1
win-arm64-snapdragon-elite-perf,1,1
win-falcon-rak-5070-perf,1,1
