bot,repeat,shard,flags
android-brya-kano-i5-8gb-perf,1,1,--fileserver --debug
android-corsola-steelix-8gb-perf,1,1,--fileserver --debug
android-nissa-uldren-8gb-perf,1,1,--fileserver --debug
android-pixel25-ultra-perf,1,4,--fileserver --debug
android-pixel25-ultra-xl-perf,1,3,--fileserver --debug
android-pixel6-perf,1,1,--fileserver
android-pixel6-perf-pgo,1,1,--fileserver
android-pixel9-perf,1,4,--fileserver --debug
android-pixel9-pro-perf,1,4,--fileserver --debug
android-pixel9-pro-xl-perf,1,4,--fileserver --debug
linux-falcon-rak-5070-perf,1,1,
linux-perf,1,10,
linux-perf-fyi,1,4,
linux-r350-perf,1,20,
mac-intel-perf,1,20,
mac-m1-pro-perf,1,4,
mac-m1_mini_2020-perf,1,20,
mac-m1_mini_2020-perf-pgo,1,4,
mac-m2-pro-perf,1,1,
mac-m3-pro-perf,1,4,
mac-m4-mini-perf,1,20,
win-10-perf,1,20,
win-10_amd_laptop-perf,1,1,
win-11-perf,1,20,
win-arm64-snapdragon-elite-perf,1,20,
win-falcon-rak-5070-perf,1,1,
